11:49:07:823|	Широта: 53.20853286	Долгота:50.25964078
11:49:08:313|	Широта: 53.20853274	Долгота:50.25964078
11:49:08:803|	Широта: 53.20853317	Долгота:50.25964078
11:49:09:293|	Широта: 53.20853317	Долгота:50.25964037
11:49:09:782|	Широта: 53.20853317	Долгота:50.25964043
11:49:10:272|	Широта: 53.20853317	Долгота:50.25964078
11:49:10:762|	Широта: 53.20853317	Долгота:50.25964038
11:49:11:253|	Широта: 53.20853317	Долгота:50.25964078
11:49:11:742|	Широта: 53.20853317	Долгота:50.25964044
11:49:12:233|	Широта: 53.20853317	Долгота:50.25964046
11:49:12:722|	Широта: 53.20853317	Долгота:50.25964045
11:49:13:212|	Широта: 53.20853317	Долгота:50.25964042
11:49:13:701|	Широта: 53.20853317	Долгота:50.25964034
11:49:14:192|	Широта: 53.20853285	Долгота:50.25964078
11:49:14:680|	Широта: 53.20853274	Долгота:50.25964078
11:49:15:173|	Широта: 53.20853279	Долгота:50.25964045
11:49:15:661|	Широта: 53.20853317	Долгота:50.25964034
11:49:16:152|	Широта: 53.20853317	Долгота:50.25964035
11:49:16:642|	Широта: 53.2085328	Долгота:50.25964078
11:49:17:133|	Широта: 53.20853317	Долгота:50.25964078
11:49:17:621|	Широта: 53.20853273	Долгота:50.25964078
11:49:18:112|	Широта: 53.20853285	Долгота:50.25964036
11:49:18:600|	Широта: 53.20853317	Долгота:50.25964034
11:49:19:092|	Широта: 53.20853286	Долгота:50.25964048
11:49:19:580|	Широта: 53.20853317	Долгота:50.25964078
11:49:20:073|	Широта: 53.20853283	Долгота:50.25964037
11:49:20:563|	Широта: 53.2085328	Долгота:50.25964046
11:49:21:053|	Широта: 53.20853317	Долгота:50.25964078
11:49:21:542|	Широта: 53.20853285	Долгота:50.25964047
11:49:22:033|	Широта: 53.20853317	Долгота:50.25964035
11:49:22:523|	Широта: 53.20853317	Долгота:50.25964078
11:49:23:015|	Широта: 53.20853317	Долгота:50.25964046
11:49:23:503|	Широта: 53.20853317	Долгота:50.25964039
11:49:23:996|	Широта: 53.20853274	Долгота:50.25964048
11:49:24:481|	Широта: 53.20853317	Долгота:50.25964041
11:49:24:972|	Широта: 53.20853278	Долгота:50.25964078
11:49:25:461|	Широта: 53.20853282	Долгота:50.25964078
11:49:25:953|	Широта: 53.20853277	Долгота:50.25964078
11:49:26:442|	Широта: 53.20853284	Долгота:50.25964042
11:49:26:933|	Широта: 53.20853317	Долгота:50.25964078
11:49:27:423|	Широта: 53.20853274	Долгота:50.25964043
11:49:27:912|	Широта: 53.20853317	Долгота:50.25964043
11:49:28:401|	Широта: 53.20853281	Долгота:50.25964078
11:49:28:895|	Широта: 53.20853317	Долгота:50.25964078
11:49:29:380|	Широта: 53.20853284	Долгота:50.25964036
11:49:29:872|	Широта: 53.20853317	Долгота:50.25964034
11:49:30:361|	Широта: 53.20853317	Долгота:50.25964078
11:49:30:852|	Широта: 53.20853286	Долгота:50.25964037
11:49:31:342|	Широта: 53.20853278	Долгота:50.25964036
11:49:31:833|	Широта: 53.20853274	Долгота:50.25964046
11:49:32:323|	Широта: 53.20853275	Долгота:50.25964078
11:49:32:812|	Широта: 53.20853279	Долгота:50.25964048
11:49:33:301|	Широта: 53.20853317	Долгота:50.25964078
11:49:33:792|	Широта: 53.20853317	Долгота:50.2596404
11:49:34:280|	Широта: 53.20853285	Долгота:50.25964078
11:49:34:773|	Широта: 53.20853276	Долгота:50.25964048
11:49:35:262|	Широта: 53.20853278	Долгота:50.25964078
11:49:35:753|	Широта: 53.20853273	Долгота:50.25964078
11:49:36:244|	Широта: 53.20853317	Долгота:50.25964037
11:49:36:733|	Широта: 53.20853317	Долгота:50.25964078
11:49:37:220|	Широта: 53.20853317	Долгота:50.25964078
11:49:37:713|	Широта: 53.20853317	Долгота:50.2596404
11:49:38:203|	Широта: 53.20853285	Долгота:50.25964047
11:49:38:694|	Широта: 53.20853317	Долгота:50.25964078
11:49:39:181|	Широта: 53.20853281	Долгота:50.25964078
11:49:39:672|	Широта: 53.20853277	Долгота:50.25964043
11:49:40:161|	Широта: 53.20853273	Долгота:50.25964039
11:49:40:653|	Широта: 53.20853276	Долгота:50.25964034
11:49:41:142|	Широта: 53.20853279	Долгота:50.25964034
11:49:41:632|	Широта: 53.20853285	Долгота:50.25964078
11:49:42:121|	Широта: 53.20853317	Долгота:50.25964078
11:49:42:613|	Широта: 53.20853317	Долгота:50.25964041
11:49:43:102|	Широта: 53.20853317	Долгота:50.25964078
11:49:43:593|	Широта: 53.20853275	Долгота:50.25964078
11:49:44:082|	Широта: 53.20853279	Долгота:50.25964078
11:49:44:573|	Широта: 53.20853317	Долгота:50.25964042
11:49:45:061|	Широта: 53.20853286	Долгота:50.25964038
